cow,breed,lactation_number_in_data,calvdate,parity,date,mtotalmotion,mtotalsteps,mhoursstanding,mhourslying,mlyingbouts,mrumination,mactivity,predictedcalving,calved,calvingeasescore,date1,daysprior
1358,H,1,22-Nov-11,multiparous,21NOV11:00:00:00,825.25,202.1666667,0.952893519,1.047106482,0.916666667,29.33333333,19.475,3,0,2,21-Nov-11,-1
1358,H,1,22-Nov-11,multiparous,22NOV11:00:00:00,398.1428571,97.14285714,0.769126984,1.230873016,2,28.42857143,19.52857143,2,1,2,22-Nov-11,0
1359,H,1,30-Oct-11,multiparous,16OCT11:00:00:00,427.9166667,101.1666667,0.466342593,1.533657407,0.583333333,,,10,0,1,16-Oct-11,-14
1359,H,1,30-Oct-11,multiparous,17OCT11:00:00:00,613.1666667,155.5,0.919282407,1.080717593,0.416666667,,,9,0,1,17-Oct-11,-13
1359,H,1,30-Oct-11,multiparous,18OCT11:00:00:00,529.9166667,129.0833333,0.982893519,0.975439815,0.416666667,,,8,0,1,18-Oct-11,-12
1359,H,1,30-Oct-11,multiparous,19OCT11:00:00:00,864.0833333,216.5833333,1.703819444,0.296180556,0.333333333,,,7,0,1,19-Oct-11,-11
1359,H,1,30-Oct-11,multiparous,20OCT11:00:00:00,814.6666667,197.1666667,1.338703704,0.661296296,0.333333333,,,6,0,1,20-Oct-11,-10
1359,H,1,30-Oct-11,multiparous,21OCT11:00:00:00,547.1666667,135.8333333,0.861898148,1.138101852,0.583333333,,,5,0,1,21-Oct-11,-9
1359,H,1,30-Oct-11,multiparous,22OCT11:00:00:00,476.4166667,108,0.590925926,1.409074074,0.666666667,,,4,0,1,22-Oct-11,-8
1359,H,1,30-Oct-11,multiparous,23OCT11:00:00:00,578.8333333,134.4166667,0.671412037,1.328587963,0.833333333,,,3,0,1,23-Oct-11,-7
1359,H,1,30-Oct-11,multiparous,24OCT11:00:00:00,648.25,149.9166667,0.701597222,1.298402778,0.666666667,,,2,0,1,24-Oct-11,-6
